,G,,,,,
Hue Prefix:,Green,,Hue,,,
Value:,5,,2.5,5.0,7.5,10.0
,Chroma,2,"110,126,118","108,126,121","107,126,123","106,126,125"
,,4,"94,130,109","89,130,114","86,131,118","84,131,123"
,,6,"74,134,100","66,135,109","60,135,115","55,135,121"
,,8,"46,138,91","19,138,103","0,139,112","0,139,119"
,,10,"0,141,83","0,142,99","0,142,109","0,142,118"
,,12,"0,144,74","0,145,95","0,145,107","0,146,117"
,,14,"0,147,67","0,148,92","0,148,105","0,148,117"
,,16,"0,149,59","0,150,90","0,150,104","0,150,117"
,,18,"0,152,53","0,152,88","0,152,103","0,153,117"
,,20,"0,153,47","0,154,86","0,154,102","0,154,116"
,,22,"0,155,42","0,155,85","0,156,101","0,156,117"
,,24,"0,156,37","0,157,83","0,157,101","0,157,117"
,,26,"0,158,33","0,158,82","0,158,100","0,158,117"
,,28,"0,159,29","0,160,82","0,160,100","0,159,117"
,,30,,,,
,,32,,,,
,,34,,,,
,,36,,,,
,,38,,,,
